Feature,Importance
soot_in_oil,0.25309196
injector_pressure,0.12962161
cylinder_head_temp,0.123333886
ferrous_debris,0.12016855
oil_temperature,0.1104777
egr_flow,0.085178226
exhaust_gas_temp,0.05746221
knock_sensor,0.030402292
mass_air_flow,0.023097422
bearing_temp,0.020591136
oil_pressure,0.012196571
engine_vibration,0.007623621
temp_diff_head_exhaust,0.0040758764
temp_diff_head_bearing,0.0038904173
vibration_composite,0.0035900911
wear_composite,0.0032850888
oil_coolant_pressure_ratio,0.0032580618
oxygen_sensor,0.0029647518
crankshaft_vibration,0.0028540143
coolant_pressure,0.002836482
